ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,non_compliant
,118.00854109231803,6725.504848793782,7.454059259432171,399.2251583465314,314.40099767633944,9.882165616962538,57.42597729756749,1.76906823086406,0
7.438996430006776,212.56574283610044,20180.669759291093,4.6230872940843515,374.775536779946,471.0147232445258,15.185584838700903,56.802413768238935,1.9514540680929686,0
6.980689715710226,168.16646046980514,13323.462188829793,8.157459524334882,350.96414408622786,696.4357083289965,7.271612698969295,60.44751642995476,2.0996189108362393,0
6.487526528994181,177.87265694831552,17699.834059908404,6.643865989928244,342.39311810688645,278.8553234138624,10.191585045081682,27.97961750560286,2.32229048902619,0
6.836263371862622,95.50913312608527,11986.44082188259,6.6850197053997515,275.78179904873605,524.2736132370209,11.239312078755283,77.09674403331627,2.282097434445928,0
6.40668275600283,146.56734165180754,17137.30003553029,4.530761193350239,,458.9445843400565,14.11892682013837,47.45333075672475,3.175428175331541,0
7.248114882077951,198.7703642325731,9741.943702265551,6.167655466656746,372.17911246406317,443.6746862887336,8.375708027738511,62.81582366181657,4.417584081898256,1
8.272172196443627,253.30719044561653,14814.382577112661,5.891691214267853,336.5998598107767,411.0878274499233,18.081249513681826,11.762535428054548,1.5496479723403103,1
6.806234785158937,259.401595364483,19072.920556008306,7.134365082503558,,419.5866051412483,12.568602232314417,64.47851706454233,1.2646814907466977,1
6.703620080144048,195.18041150024533,15315.509704265385,4.583845716878523,308.1045166537775,582.4944667417618,12.754638423313757,85.55345524467002,0.9001498564669967,1
,188.64269856626183,11800.22835077984,7.291181326711273,183.87544361205659,529.6161477223784,12.347280625331955,17.335591194505817,4.437317760947833,0
7.485509606528049,150.1592487790196,7393.334515516698,7.423804783408756,308.1059645899344,338.36585860534797,11.116001867504032,89.0091786260709,4.7036006466326565,1
7.284331399198319,224.14138981856834,16173.430733954398,5.184417866934547,344.8891301006404,645.1435762064942,9.898992213349237,69.02578257240522,1.269905241309182,0
6.455625564233436,185.1453199695477,17414.61853643876,6.075618540663374,,302.47196340986966,18.30129052662581,46.00981917538967,1.154070520418792,0
7.176598542029382,236.35307234894023,13191.483851056251,5.6564035856257515,332.3090284155734,537.7100236177992,14.567119518356204,29.7328914283295,3.2680013058706563,1
